y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,Reynolds_number ,Mach_number,alpha,cd,cl,cm,simulation time 
0.005920822,0.021617958,0.040329262,0.058702964,0.071418869,0.07513818,0.070101189,0.057097185,0.037557496,0.014645543,1.37E-05,-0.007626264,-0.006520197,0.001459455,0.011469201,0.01956988,0.02313381,0.021175154,0.014452872,0.005162161,5100000,0.35,0,0.008788111,0.720036453,0.004394055,14.84262109
0.005920822,0.021617958,0.040329262,0.058702964,0.071418869,0.07513818,0.070101189,0.057097185,0.037557496,0.014645543,1.37E-05,-0.007626264,-0.006520197,0.001459455,0.011469201,0.01956988,0.02313381,0.021175154,0.014452872,0.005162161,5100000,0.35,2,0.009638751,0.956539115,-0.011874927,16.34415555
0.005920822,0.021617958,0.040329262,0.058702964,0.071418869,0.07513818,0.070101189,0.057097185,0.037557496,0.014645543,1.37E-05,-0.007626264,-0.006520197,0.001459455,0.011469201,0.01956988,0.02313381,0.021175154,0.014452872,0.005162161,5100000,0.35,4,0.011237143,1.186335567,-0.035772408,16.51232386
0.005920822,0.021617958,0.040329262,0.058702964,0.071418869,0.07513818,0.070101189,0.057097185,0.037557496,0.014645543,1.37E-05,-0.007626264,-0.006520197,0.001459455,0.011469201,0.01956988,0.02313381,0.021175154,0.014452872,0.005162161,5100000,0.35,6,0.014535036,1.400162326,-0.065950702,19.83566451
0.005920822,0.021617958,0.040329262,0.058702964,0.071418869,0.07513818,0.070101189,0.057097185,0.037557496,0.014645543,1.37E-05,-0.007626264,-0.006520197,0.001459455,0.011469201,0.01956988,0.02313381,0.021175154,0.014452872,0.005162161,5100000,0.35,1,0.00901289,0.838750958,-0.002938488,
0.005920822,0.021617958,0.040329262,0.058702964,0.071418869,0.07513818,0.070101189,0.057097185,0.037557496,0.014645543,1.37E-05,-0.007626264,-0.006520197,0.001459455,0.011469201,0.01956988,0.02313381,0.021175154,0.014452872,0.005162161,5100000,0.35,3,0.010284994,1.065768365,-0.022954335,
0.005920822,0.021617958,0.040329262,0.058702964,0.071418869,0.07513818,0.070101189,0.057097185,0.037557496,0.014645543,1.37E-05,-0.007626264,-0.006520197,0.001459455,0.011469201,0.01956988,0.02313381,0.021175154,0.014452872,0.005162161,5100000,0.35,5,0.012780724,1.292785772,-0.049924839,
0.005920822,0.021617958,0.040329262,0.058702964,0.071418869,0.07513818,0.070101189,0.057097185,0.037557496,0.014645543,1.37E-05,-0.007626264,-0.006520197,0.001459455,0.011469201,0.01956988,0.02313381,0.021175154,0.014452872,0.005162161,5100000,0.45,0,0.00893189,0.751846757,0.004465945,18.95357227
0.005920822,0.021617958,0.040329262,0.058702964,0.071418869,0.07513818,0.070101189,0.057097185,0.037557496,0.014645543,1.37E-05,-0.007626264,-0.006520197,0.001459455,0.011469201,0.01956988,0.02313381,0.021175154,0.014452872,0.005162161,5100000,0.45,2,0.009906415,1.000586217,-0.012509788,13.42648196
0.005920822,0.021617958,0.040329262,0.058702964,0.071418869,0.07513818,0.070101189,0.057097185,0.037557496,0.014645543,1.37E-05,-0.007626264,-0.006520197,0.001459455,0.011469201,0.01956988,0.02313381,0.021175154,0.014452872,0.005162161,5100000,0.45,4,0.011649165,1.243104774,-0.037546909,14.90989494
0.005920822,0.021617958,0.040329262,0.058702964,0.071418869,0.07513818,0.070101189,0.057097185,0.037557496,0.014645543,1.37E-05,-0.007626264,-0.006520197,0.001459455,0.011469201,0.01956988,0.02313381,0.021175154,0.014452872,0.005162161,5100000,0.45,6,0.015360919,1.467061059,-0.069036434,18.65693521
0.005920822,0.021617958,0.040329262,0.058702964,0.071418869,0.07513818,0.070101189,0.057097185,0.037557496,0.014645543,1.37E-05,-0.007626264,-0.006520197,0.001459455,0.011469201,0.01956988,0.02313381,0.021175154,0.014452872,0.005162161,5100000,0.45,1,0.009188036,0.876833555,-0.003195259,
0.005920822,0.021617958,0.040329262,0.058702964,0.071418869,0.07513818,0.070101189,0.057097185,0.037557496,0.014645543,1.37E-05,-0.007626264,-0.006520197,0.001459455,0.011469201,0.01956988,0.02313381,0.021175154,0.014452872,0.005162161,5100000,0.45,3,0.010606713,1.115649702,-0.024121236,
0.005920822,0.021617958,0.040329262,0.058702964,0.071418869,0.07513818,0.070101189,0.057097185,0.037557496,0.014645543,1.37E-05,-0.007626264,-0.006520197,0.001459455,0.011469201,0.01956988,0.02313381,0.021175154,0.014452872,0.005162161,5100000,0.45,5,0.013394004,1.354465848,-0.05230411,
0.005920822,0.021617958,0.040329262,0.058702964,0.071418869,0.07513818,0.070101189,0.057097185,0.037557496,0.014645543,1.37E-05,-0.007626264,-0.006520197,0.001459455,0.011469201,0.01956988,0.02313381,0.021175154,0.014452872,0.005162161,5100000,0.55,0,0.009229634,0.803613291,0.004614817,13.08374906
0.005920822,0.021617958,0.040329262,0.058702964,0.071418869,0.07513818,0.070101189,0.057097185,0.037557496,0.014645543,1.37E-05,-0.007626264,-0.006520197,0.001459455,0.011469201,0.01956988,0.02313381,0.021175154,0.014452872,0.005162161,5100000,0.55,2,0.010429065,1.073175764,-0.013515291,13.69526005
0.005920822,0.021617958,0.040329262,0.058702964,0.071418869,0.07513818,0.070101189,0.057097185,0.037557496,0.014645543,1.37E-05,-0.007626264,-0.006520197,0.001459455,0.011469201,0.01956988,0.02313381,0.021175154,0.014452872,0.005162161,5100000,0.55,4,0.012469683,1.339449637,-0.040497988,15.92728162
